face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,participant
detected_faces\00791.jpg,Black,Black,Male,20-29,"[7.0831605e-04 9.9044067e-01 5.8337180e-03 9.6082978e-04 1.1356409e-03
 6.2140619e-04 2.9943735e-04]",[0.00367492 0.97448665 0.01991659 0.00192187],[0.89120615 0.10879387],"[5.4814562e-04 1.3045312e-02 6.6452160e-02 5.4524618e-01 3.2393736e-01
 4.6487551e-02 3.8221141e-03 3.7119235e-04 9.0034380e-05]",00791
detected_faces\00790.jpg,White,White,Female,20-29,"[4.6260503e-01 2.5427245e-04 1.5250066e-01 1.1777726e-02 5.1919469e-03
 1.8703153e-03 3.6580008e-01]",[0.79001147 0.00407274 0.2015983  0.00431756],[0.20649238 0.79350764],"[2.6121765e-07 5.8582620e-05 5.8236502e-02 6.4830530e-01 2.7996677e-01
 1.3150863e-02 2.6962455e-04 1.1791460e-05 3.4874674e-07]",00790
detected_faces\00789.jpg,East Asian,Asian,Male,20-29,"[0.07139435 0.01066385 0.33267617 0.35072044 0.15561262 0.01212351
 0.06680907]",[0.02070355 0.067827   0.8705195  0.04094993],[0.98155266 0.01844736],"[7.8672840e-04 4.2231171e-03 3.0131670e-02 5.8170801e-01 3.4166020e-01
 3.7963048e-02 2.9438315e-03 5.4140168e-04 4.1987267e-05]",00789
detected_faces\00779.jpg,White,White,Male,30-39,"[0.6005158  0.07211376 0.07222538 0.16343202 0.06524679 0.00328741
 0.02317894]",[0.6961941  0.1463739  0.1457111  0.01172093],[0.871885   0.12811491],"[1.5462162e-01 1.0994191e-01 3.5391752e-02 3.1289139e-01 3.1550407e-01
 6.2048648e-02 8.2983663e-03 1.0970886e-03 2.0511943e-04]",00779
detected_faces\00777.jpg,White,White,Female,20-29,"[9.8600709e-01 5.0246710e-04 3.2051208e-03 4.2776274e-03 4.5575765e-03
 1.8333680e-04 1.2668315e-03]",[9.9476403e-01 5.6172541e-04 4.4911224e-03 1.8315566e-04],[0.00362988 0.9963701 ],"[2.4978239e-05 1.0899801e-02 1.8543729e-01 6.9712955e-01 1.0374971e-01
 2.7197166e-03 3.6561629e-05 2.0302130e-06 4.3950757e-07]",00777
detected_faces\00776.jpg,White,White,Female,20-29,"[0.6987391  0.00420349 0.12215254 0.05266297 0.10154498 0.00778988
 0.01290699]",[9.2782021e-01 6.6116947e-04 6.8903796e-02 2.6147701e-03],[0.0107904 0.9892096],"[3.6055912e-06 2.7861814e-03 2.2476490e-01 6.3203287e-01 1.3161811e-01
 8.4149456e-03 3.3658941e-04 3.7951118e-05 4.8044321e-06]",00776
detected_faces\00775.jpg,White,White,Female,20-29,"[9.01513815e-01 4.78103757e-05 1.94842201e-02 4.02769223e-02
 1.27294455e-02 1.16310141e-03 2.47846525e-02]",[6.3086653e-01 4.3419056e-04 3.6694458e-01 1.7546717e-03],[0.04407592 0.9559241 ],"[1.8616821e-04 3.3514360e-03 7.2527573e-02 6.9099724e-01 2.1588221e-01
 1.6308917e-02 6.8051199e-04 6.0171129e-05 5.8167793e-06]",00775
detected_faces\00774.jpg,White,White,Female,50-59,"[0.46006054 0.00699668 0.13102937 0.00350761 0.00254846 0.00149945
 0.39435792]",[0.9941044  0.0025953  0.00178885 0.00151143],[0.15664285 0.84335715],"[3.2689411e-04 3.2942463e-04 3.2480902e-03 3.8698871e-02 1.4214094e-01
 2.8580749e-01 3.8232481e-01 1.3894607e-01 8.1773838e-03]",00774
detected_faces\00773.jpg,Middle Eastern,White,Male,20-29,"[0.31962106 0.00503946 0.09368871 0.00942551 0.0162433  0.00635504
 0.5496269 ]",[0.9085008  0.00198412 0.08284669 0.00666839],[0.9986799 0.0013201],"[7.0313531e-06 6.9583184e-04 7.0277855e-02 7.4616325e-01 1.7645493e-01
 6.3035958e-03 9.1774433e-05 5.2265914e-06 5.1618537e-07]",00773
detected_faces\00772.jpg,White,Asian,Male,0-2,"[0.41838986 0.00710104 0.03801952 0.40343833 0.09895064 0.00324797
 0.03085265]",[0.12426679 0.02923435 0.844045   0.00245393],[0.90387136 0.09612864],"[8.1167668e-01 6.6616796e-02 9.2148036e-03 6.0674742e-02 4.3515358e-02
 7.0265187e-03 9.5503632e-04 2.4286815e-04 7.7285607e-05]",00772
detected_faces\00771.jpg,White,Asian,Female,20-29,"[0.38400087 0.0308207  0.10471089 0.30942947 0.13347165 0.00670735
 0.03085906]",[0.42551783 0.02189727 0.5473013  0.00528365],[0.10888252 0.89111745],"[1.1665365e-02 8.6559959e-02 8.0209889e-02 5.4897285e-01 2.2872069e-01
 3.9384846e-02 3.0426134e-03 1.0486702e-03 3.9506337e-04]",00771
detected_faces\00767.jpg,White,White,Female,20-29,"[9.7050983e-01 4.9438380e-04 5.2914540e-03 5.6155482e-03 5.2035865e-03
 2.1348670e-04 1.2671698e-02]",[0.93605274 0.00094433 0.06014765 0.00285525],[0.00660139 0.9933986 ],"[5.7193269e-05 2.2679346e-03 2.0616960e-02 5.3262603e-01 4.0320703e-01
 4.0234484e-02 9.3286863e-04 4.8556427e-05 8.9530231e-06]",00767
detected_faces\00765.jpg,White,White,Female,20-29,"[9.8658329e-01 1.7261054e-05 2.4536529e-03 3.1060909e-04 3.6266874e-04
 4.9863720e-05 1.0222667e-02]",[9.9646217e-01 3.5921101e-05 3.1135385e-03 3.8842880e-04],[0.00415997 0.9958401 ],"[1.4178931e-05 2.6108008e-03 7.5325124e-02 4.8872632e-01 3.9643177e-01
 3.6326908e-02 5.4464577e-04 1.7743941e-05 2.4918354e-06]",00765
detected_faces\00764.jpg,Black,Black,Male,20-29,"[0.00289272 0.7638907  0.02096197 0.00625002 0.05042151 0.1526962
 0.00288675]",[3.4349141e-04 9.5788115e-01 2.5021391e-02 1.6753981e-02],[0.54091084 0.45908916],"[3.8656893e-03 2.1521296e-01 2.0260495e-01 3.4092808e-01 1.8771836e-01
 4.2993296e-02 5.6230705e-03 7.6795067e-04 2.8561358e-04]",00764
detected_faces\00757.jpg,White,White,Female,20-29,"[4.4087440e-01 1.2330995e-04 3.6344683e-01 4.8458897e-02 3.0082056e-02
 2.3452889e-02 9.3561597e-02]",[0.39836127 0.00328654 0.21699673 0.3813555 ],[0.4693935  0.53060645],"[5.0157385e-05 5.1933538e-02 3.1243753e-01 5.4181933e-01 9.1072761e-02
 2.6553473e-03 2.9595667e-05 1.6230100e-06 9.8300980e-08]",00757
detected_faces\00756.jpg,White,Asian,Female,20-29,"[6.39377594e-01 3.98368211e-05 1.32475495e-02 3.12692046e-01
 2.09316630e-02 7.17013376e-04 1.29942968e-02]",[2.0081882e-01 1.7690752e-05 7.9885536e-01 3.0813192e-04],[0.03455714 0.9654429 ],"[4.8685593e-05 6.9046468e-03 1.4740759e-01 7.4062955e-01 9.8597325e-02
 6.2410156e-03 1.5828866e-04 1.1987601e-05 9.7888585e-07]",00756
detected_faces\00755.jpg,White,White,Male,30-39,"[0.51430905 0.0102216  0.18388802 0.00325052 0.00841756 0.00350885
 0.2764044 ]",[0.90440303 0.02736442 0.05925453 0.00897801],[0.97695345 0.02304651],"[5.6467993e-06 1.1610455e-04 7.6953564e-03 3.1332788e-01 5.1768619e-01
 1.4276417e-01 1.7418005e-02 9.3472173e-04 5.1912270e-05]",00755
detected_faces\00753.jpg,Middle Eastern,White,Male,40-49,"[0.07786498 0.0027623  0.03750128 0.00147071 0.00242595 0.00177099
 0.87620384]",[0.8764429  0.02008687 0.03052991 0.07294034],[0.8972216  0.10277838],"[1.1676667e-04 1.3592032e-03 1.0680708e-02 6.5851927e-02 4.3180436e-01
 4.4971922e-01 3.9672803e-02 7.7581085e-04 1.9199151e-05]",00753
detected_faces\00752.jpg,White,White,Male,19-Oct,"[9.9874520e-01 6.7111580e-07 6.1883917e-04 1.0973342e-04 4.7476056e-05
 2.7852773e-06 4.7534061e-04]",[9.9998128e-01 9.5678509e-08 1.6994522e-05 1.5934660e-06],[0.8329263  0.16707368],"[5.9065490e-04 1.7376085e-01 5.6425375e-01 1.1631620e-01 1.0925771e-01
 3.4276213e-02 1.4750053e-03 6.2897161e-05 6.7952583e-06]",00752
detected_faces\00750.jpg,East Asian,Black,Male,30-39,"[3.9900929e-01 2.1950214e-03 8.6637959e-02 4.2666945e-01 7.0452102e-02
 3.6551862e-04 1.4670724e-02]",[0.03627874 0.45830303 0.4000598  0.10535839],[0.5992868  0.40071324],"[0.0004519  0.00266568 0.02299373 0.23539078 0.32574815 0.23268107
 0.11097576 0.0562098  0.01288316]",00750
detected_faces\00749.jpg,White,White,Male,20-29,"[9.5230806e-01 5.9440621e-04 1.8858952e-02 1.1755736e-02 5.7544084e-03
 2.7969602e-04 1.0448689e-02]",[0.66303474 0.01480551 0.32120183 0.00095797],[0.987948   0.01205204],"[1.9546261e-04 6.9307158e-04 1.7848805e-02 5.5853266e-01 3.3014399e-01
 7.5649083e-02 1.3981006e-02 2.5683437e-03 3.8762362e-04]",00749
detected_faces\00748.jpg,White,White,Male,40-49,"[9.3294829e-01 8.3405641e-04 1.6089415e-02 3.5472330e-02 9.9227019e-03
 4.5323774e-04 4.2799516e-03]",[0.8805802  0.00769838 0.10995952 0.00176189],[0.910166   0.08983401],"[0.00096255 0.00813466 0.0481596  0.10661787 0.14491652 0.27695817
 0.26432136 0.13253477 0.01739451]",00748
detected_faces\00747.jpg,East Asian,Asian,Male,19-Oct,"[0.14892969 0.00352178 0.06657382 0.6494997  0.09866378 0.00742148
 0.02538977]",[0.1095561  0.00720248 0.87974083 0.00350062],[0.8953431  0.10465685],"[1.1221975e-03 1.0595004e-01 4.5704293e-01 3.1746519e-01 9.1175057e-02
 2.2132501e-02 3.3682957e-03 1.4373804e-03 3.0635481e-04]",00747
detected_faces\00746.jpg,White,White,Female,30-39,"[9.5794815e-01 1.1712817e-04 2.9064201e-02 1.2702687e-03 8.4678415e-04
 3.1193509e-04 1.0441588e-02]",[9.9320489e-01 6.4669561e-04 3.4173485e-03 2.7310858e-03],[4.163934e-04 9.995836e-01],"[1.3732173e-06 9.1040965e-05 1.2530834e-02 2.1108419e-01 4.9515378e-01
 2.4675342e-01 3.1351287e-02 2.8913685e-03 1.4268195e-04]",00746
detected_faces\00745.jpg,White,White,Female,30-39,"[7.9294801e-01 1.1732676e-04 1.1179683e-01 3.0877553e-03 1.2599190e-03
 3.3926580e-04 9.0450823e-02]",[0.673781   0.26481247 0.05630101 0.00510561],[1.4725585e-05 9.9998528e-01],"[1.0020705e-05 1.2759255e-03 6.9936484e-02 4.1476652e-01 4.3050072e-01
 7.6358415e-02 6.7026215e-03 4.4095225e-04 8.3539016e-06]",00745
detected_faces\00743.jpg,White,White,Male,19-Oct,"[0.39020684 0.00693517 0.24726477 0.02249595 0.02126447 0.00638993
 0.30544287]",[9.8732150e-01 1.0523553e-03 1.1199835e-02 4.2630051e-04],[0.8671671  0.13283285],"[3.2119246e-04 4.5868747e-02 3.4852707e-01 2.0530947e-01 2.4435531e-01
 1.3951123e-01 1.4673942e-02 1.3245607e-03 1.0849911e-04]",00743
detected_faces\00742.jpg,White,White,Female,40-49,"[0.66316015 0.00637833 0.18285577 0.00870817 0.01362056 0.00199958
 0.12327742]",[9.7353923e-01 1.3111427e-03 2.4361085e-02 7.8855670e-04],[0.23185317 0.7681468 ],"[0.00066921 0.00917865 0.04073713 0.04132402 0.15045266 0.4944653
 0.2241832  0.03527636 0.00371345]",00742
detected_faces\00741.jpg,White,White,Male,20-29,"[0.51706713 0.00182511 0.37965107 0.00485283 0.00424011 0.00433023
 0.08803347]",[9.4738984e-01 2.5803366e-04 5.1024050e-02 1.3281069e-03],[9.9983644e-01 1.6354249e-04],"[7.6050020e-04 2.0888042e-02 2.7675161e-01 3.2666758e-01 3.1680247e-01
 5.4937322e-02 3.0950324e-03 9.4301919e-05 3.2552332e-06]",00741
detected_faces\00740.jpg,East Asian,Asian,Female,30-39,"[0.18173176 0.00073482 0.10179906 0.36663267 0.3366727  0.00138247
 0.01104654]",[0.41240576 0.00314744 0.56051415 0.02393263],[0.4625482 0.5374518],"[0.00050179 0.01337749 0.06831545 0.1879037  0.3896059  0.2494401
 0.07889528 0.01100206 0.00095824]",00740
detected_faces\00737.jpg,White,White,Female,20-29,"[9.8521805e-01 6.0789214e-05 1.9354810e-03 8.8573145e-03 2.2754096e-03
 1.8671044e-05 1.6343497e-03]",[9.9657041e-01 3.9562190e-05 3.3570391e-03 3.3039323e-05],[0.00247782 0.9975222 ],"[8.0113605e-05 8.4026065e-03 7.1721390e-02 6.5203243e-01 2.3067610e-01
 3.5690956e-02 1.2330349e-03 1.3006983e-04 3.3349614e-05]",00737
detected_faces\00733.jpg,Indian,Black,Male,19-Oct,"[0.00585284 0.09464747 0.13729514 0.02107281 0.1428805  0.5926138
 0.00563737]",[0.00337339 0.7068739  0.11160577 0.17814693],[0.9804595  0.01954044],"[7.3668401e-04 2.7235588e-01 5.8296335e-01 1.0356904e-01 3.2094251e-02
 7.0555354e-03 9.4463688e-04 2.4593747e-04 3.4650409e-05]",00733
detected_faces\00732.jpg,Black,Black,Male,20-29,"[0.02091465 0.8536487  0.03190588 0.00904911 0.02045601 0.01642669
 0.04759897]",[6.8619638e-04 9.0247905e-01 2.7967334e-02 6.8867385e-02],[0.5784777  0.42152232],"[5.2160824e-05 2.5790608e-03 3.9308302e-02 5.3797477e-01 3.6721128e-01
 5.0170634e-02 2.3122339e-03 3.2365485e-04 6.7880967e-05]",00732
detected_faces\00731.jpg,Black,Indian,Male,20-29,"[0.05752408 0.4998324  0.10757809 0.0880061  0.09250262 0.06651296
 0.08804385]",[0.01248835 0.41169447 0.10654719 0.46927   ],[0.7280144 0.2719856],"[0.00183316 0.03317567 0.08127893 0.4814997  0.30346948 0.08375674
 0.01144369 0.00281574 0.0007269 ]",00731
detected_faces\00730.jpg,Latino_Hispanic,Asian,Female,19-Oct,"[0.11173196 0.02768254 0.5074753  0.10574446 0.21512999 0.01675424
 0.0154815 ]",[0.19014224 0.00262346 0.7999602  0.00727412],[0.1839846 0.8160154],"[3.86765320e-03 2.88168937e-01 3.29758704e-01 2.59670049e-01
 1.01162195e-01 1.59290079e-02 1.15952909e-03 2.32956387e-04
 5.10154860e-05]",00730
detected_faces\00729.jpg,Black,Black,Female,19-Oct,"[6.4924796e-04 9.6113479e-01 9.8169083e-03 1.0553202e-02 1.5955752e-02
 1.7275149e-03 1.6257061e-04]",[2.2405220e-05 9.5617217e-01 4.3038949e-02 7.6647790e-04],[0.01607389 0.9839261 ],"[1.11031004e-04 7.88264796e-02 4.44484591e-01 4.08850402e-01
 6.41647354e-02 3.35866422e-03 1.73493900e-04 2.52616956e-05
 5.35459640e-06]",00729
detected_faces\00728.jpg,Latino_Hispanic,Asian,Male,20-29,"[0.07912917 0.00422417 0.6774988  0.04582847 0.12024672 0.05307843
 0.01999408]",[0.13022627 0.09869301 0.46708146 0.30399925],[0.94469064 0.05530934],"[3.8288930e-05 2.3650406e-03 9.8240353e-02 6.5921605e-01 2.2731911e-01
 1.2627461e-02 1.8192994e-04 1.1260742e-05 5.1180047e-07]",00728
detected_faces\00722.jpg,Southeast Asian,Asian,Male,20-29,"[0.05328799 0.06077435 0.17031257 0.10826807 0.22528356 0.2173847
 0.16468875]",[0.00378624 0.15643772 0.7368369  0.10293913],[0.9348106  0.06518941],"[0.00393796 0.06223094 0.16425253 0.33619496 0.23884442 0.14533353
 0.03622788 0.01082154 0.00215625]",00722
detected_faces\00721.jpg,White,White,Female,20-29,"[9.9876440e-01 1.7630058e-05 2.7006131e-04 1.7279509e-04 8.5922853e-05
 6.6362022e-06 6.8262074e-04]",[9.9684519e-01 8.1867456e-06 2.9751500e-03 1.7147188e-04],[0.0274156  0.97258437],"[6.6642269e-06 4.8776038e-04 3.4852128e-02 4.4107404e-01 3.9056480e-01
 1.2799874e-01 4.7505726e-03 2.2948408e-04 3.5817120e-05]",00721
detected_faces\00719.jpg,Black,Asian,Male,20-29,"[0.12072622 0.28708014 0.1744227  0.11592553 0.10728512 0.02720959
 0.16735078]",[0.03630003 0.05784981 0.9019135  0.00393663],[0.88354856 0.11645141],"[0.00158393 0.23757137 0.30219862 0.31865093 0.10726066 0.0282493
 0.00305161 0.00110731 0.00032629]",00719
detected_faces\00718.jpg,White,White,Male,30-39,"[8.9781231e-01 1.5165983e-04 3.7148092e-02 4.9222712e-03 2.7487569e-03
 9.4950624e-04 5.6267407e-02]",[0.98742104 0.0016593  0.00838022 0.00253944],[9.996943e-01 3.057100e-04],"[1.6490975e-06 1.5112014e-05 1.7595130e-03 1.5347332e-01 5.7246906e-01
 2.6204526e-01 9.9192392e-03 3.0979820e-04 7.1038157e-06]",00718
detected_faces\00716.jpg,Latino_Hispanic,Asian,Male,30-39,"[0.14725472 0.00205107 0.6480899  0.11508852 0.0540413  0.00483698
 0.02863752]",[0.26304534 0.01066328 0.70869416 0.01759721],[0.5084648  0.49153516],"[1.5996148e-06 2.2804993e-04 3.7770264e-02 4.2154643e-01 4.8004040e-01
 5.8617458e-02 1.7241213e-03 7.0086942e-05 1.5585608e-06]",00716
detected_faces\00714.jpg,White,Asian,Male,30-39,"[0.549242   0.06402075 0.21368426 0.03068298 0.02627429 0.01190664
 0.10418905]",[0.08690344 0.10868259 0.762242   0.04217196],[0.9490195 0.0509805],"[1.4070097e-05 4.3093314e-04 4.3084621e-03 3.7842205e-01 5.1317263e-01
 9.7467422e-02 5.6823995e-03 4.6653542e-04 3.5526715e-05]",00714
detected_faces\00712.jpg,White,White,Male,20-29,"[9.7904074e-01 6.1805353e-05 4.5036469e-03 8.6781066e-03 2.9176269e-03
 1.2483193e-04 4.6733054e-03]",[0.6689855  0.00595974 0.31814483 0.00690989],[9.999616e-01 3.837117e-05],"[1.9443230e-06 1.1975491e-04 3.0581761e-02 8.2691842e-01 1.3874802e-01
 3.5421429e-03 8.3187690e-05 4.4533535e-06 1.7425583e-07]",00712
detected_faces\00711.jpg,White,Indian,Male,20-29,"[0.5042744  0.01846033 0.12071007 0.00833839 0.02127752 0.01225399
 0.3146853 ]",[0.06522641 0.1690322  0.2467444  0.518997  ],[0.9031037  0.09689633],"[2.1876140e-05 5.8208039e-04 1.5797677e-02 6.4892811e-01 3.0675980e-01
 2.6526099e-02 1.2633954e-03 1.1226184e-04 8.7285098e-06]",00711
detected_faces\00710.jpg,White,White,Female,9-Mar,"[9.3554944e-01 1.4239509e-04 1.7821774e-02 2.4377145e-02 5.0782431e-03
 2.8053406e-04 1.6750518e-02]",[9.9687290e-01 1.9740360e-04 2.7844338e-03 1.4529894e-04],[0.06493936 0.9350606 ],"[1.3818625e-02 3.8222587e-01 1.4923982e-01 2.1754043e-01 1.8978661e-01
 4.3682203e-02 3.2951047e-03 3.3121801e-04 8.0189311e-05]",00710
detected_faces\00707.jpg,White,White,Female,30-39,"[8.7802935e-01 9.0755383e-04 7.6977991e-02 8.4594684e-03 2.2346058e-03
 3.8864661e-04 3.3002436e-02]",[9.4372666e-01 4.4552395e-03 5.0882924e-02 9.3509123e-04],[0.00598831 0.9940117 ],"[2.4395094e-05 6.7160412e-04 7.1780025e-03 1.4076394e-01 4.5184249e-01
 3.4375069e-01 5.0165374e-02 5.2163475e-03 3.8721255e-04]",00707
detected_faces\00706.jpg,White,White,Female,60-69,"[0.7574887  0.00451948 0.05718006 0.00480968 0.01230345 0.01174252
 0.15195614]",[0.7501453  0.04052125 0.17489417 0.03443924],[0.45200697 0.54799306],"[0.00325586 0.00335283 0.00387984 0.01614167 0.05799935 0.14369145
 0.22978374 0.3169562  0.22493906]",00706
detected_faces\00704.jpg,Latino_Hispanic,Asian,Female,40-49,"[0.15322109 0.02800049 0.40106648 0.08835967 0.24492927 0.02945716
 0.05496591]",[0.00427702 0.11440635 0.7488457  0.13247095],[0.02451594 0.9754841 ],"[0.0005981  0.00432461 0.01671705 0.13005143 0.36448738 0.36973864
 0.07991933 0.02953024 0.00463318]",00704
detected_faces\00700.jpg,White,White,Male,30-39,"[7.8844762e-01 5.6569977e-04 4.8396762e-02 4.8540551e-02 6.1566744e-02
 2.0085231e-03 5.0474070e-02]",[6.3444859e-01 5.3319830e-04 3.6448193e-01 5.3630385e-04],[9.998700e-01 1.299365e-04],"[1.2949359e-03 6.9890961e-02 1.7252593e-01 2.5792521e-01 3.5465363e-01
 1.3078256e-01 1.2182687e-02 6.9779652e-04 4.6373811e-05]",00700
detected_faces\00699.jpg,White,Black,Male,20-29,"[0.5824314  0.05512344 0.13882565 0.09035546 0.04263457 0.01442409
 0.07620536]",[0.14603746 0.44260237 0.40632552 0.00503464],[0.99371505 0.00628498],"[1.3515960e-04 2.0284764e-02 2.8150171e-01 6.1071390e-01 7.7200532e-02
 8.9340080e-03 8.7432138e-04 2.8529565e-04 7.0309376e-05]",00699
detected_faces\00696.jpg,White,Asian,Male,0-2,"[0.32739642 0.06784714 0.117738   0.27105764 0.14225341 0.02699695
 0.04671041]",[0.31697494 0.05150349 0.6256518  0.00586981],[0.67232746 0.32767257],"[5.1157713e-01 1.6752911e-01 5.0651781e-02 2.0426072e-01 6.3327715e-02
 2.4122559e-03 2.0418265e-04 2.9515240e-05 7.6062465e-06]",00696
detected_faces\00695.jpg,Latino_Hispanic,Asian,Male,20-29,"[0.15915705 0.12487751 0.27510446 0.11397766 0.12723696 0.02020575
 0.17944062]",[0.07972479 0.11751325 0.7714459  0.03131611],[0.9179583  0.08204167],"[0.00283875 0.01703418 0.04418177 0.5915955  0.26987284 0.05989346
 0.01042961 0.00327242 0.0008815 ]",00695
detected_faces\00694.jpg,White,White,Male,20-29,"[0.67159975 0.00118838 0.1109821  0.01374884 0.0159406  0.00111688
 0.1854234 ]",[0.9929801  0.00319766 0.00228721 0.00153501],[0.94269824 0.05730179],"[5.9277761e-07 5.2194216e-04 2.3527186e-01 6.7366821e-01 8.8299848e-02
 2.2058331e-03 3.0547715e-05 1.0764292e-06 6.7462892e-08]",00694
detected_faces\00693.jpg,Middle Eastern,White,Male,20-29,"[0.31017968 0.00462324 0.10519961 0.09844185 0.09509668 0.04781237
 0.33864656]",[9.6022159e-01 1.3486237e-02 2.5364600e-02 9.2751306e-04],[9.99357e-01 6.42961e-04],"[1.41269775e-05 4.79622046e-04 4.48649973e-02 7.88476348e-01
 1.60338312e-01 5.57335839e-03 2.23042676e-04 2.85006445e-05
 1.79501876e-06]",00693
detected_faces\00691.jpg,White,White,Male,20-29,"[0.78981817 0.00136782 0.10365827 0.03419467 0.03100873 0.00171651
 0.03823585]",[9.8961908e-01 1.7132345e-04 9.9762063e-03 2.3333778e-04],[0.99874336 0.00125661],"[9.7379425e-06 2.9548826e-03 2.6767489e-01 6.0653818e-01 1.1080979e-01
 1.1327161e-02 6.2881771e-04 5.1338091e-05 5.2195883e-06]",00691
detected_faces\00690.jpg,East Asian,White,Male,20-29,"[0.18451312 0.08639849 0.10500045 0.5058326  0.09773407 0.00173121
 0.01879003]",[0.72294366 0.01747946 0.2537771  0.00579983],[0.61623764 0.38376233],"[2.07865087e-04 4.77332855e-03 1.03800565e-01 7.11814940e-01
 1.65651038e-01 1.17377443e-02 1.36663660e-03 5.16705040e-04
 1.31260371e-04]",00690
detected_faces\00688.jpg,Black,Black,Female,20-29,"[0.00374799 0.8543177  0.02941662 0.00665391 0.04300271 0.05453686
 0.00832422]",[1.6182472e-04 9.6987623e-01 2.0416096e-02 9.5458673e-03],[0.18803044 0.8119695 ],"[1.4413372e-04 1.1152167e-02 9.6219756e-02 5.2867573e-01 3.0501708e-01
 5.3961150e-02 4.2162850e-03 5.1945919e-04 9.4267059e-05]",00688
detected_faces\00687.jpg,White,White,Male,20-29,"[9.5624840e-01 2.1654127e-04 4.4874460e-03 2.4094444e-02 6.7991121e-03
 1.8056412e-04 7.9734307e-03]",[9.7634876e-01 2.8187758e-03 2.0165242e-02 6.6724530e-04],[0.97037786 0.02962215],"[1.1483748e-02 9.1640808e-02 1.3374685e-01 5.6338251e-01 1.8375364e-01
 1.4977222e-02 9.0335490e-04 9.0637033e-05 2.1210342e-05]",00687
detected_faces\00686.jpg,White,White,Female,20-29,"[0.52302116 0.00315002 0.09452119 0.25879535 0.09095692 0.00464974
 0.02490561]",[0.9525962  0.003603   0.03758089 0.00621993],[0.00350077 0.9964992 ],"[1.0243186e-03 8.1119277e-02 8.7713055e-02 5.7731295e-01 2.1917760e-01
 3.2106511e-02 1.2758675e-03 2.1856108e-04 5.1926429e-05]",00686
detected_faces\00683.jpg,Middle Eastern,White,Male,20-29,"[8.0795273e-02 7.5405277e-03 3.2762498e-01 1.7755608e-04 6.1815832e-04
 1.2029815e-01 4.6294531e-01]",[0.5016328  0.08713356 0.00924188 0.4019917 ],[0.9378359  0.06216409],"[9.5538971e-06 5.7661436e-03 3.9547312e-01 5.3324640e-01 6.1583214e-02
 3.8139999e-03 9.7736091e-05 9.3229883e-06 5.3562002e-07]",00683
detected_faces\00682.jpg,East Asian,Black,Female,20-29,"[0.0617246  0.06370645 0.03728103 0.6981673  0.11498027 0.0053572
 0.01878308]",[0.3520478  0.39609504 0.2286937  0.02316345],[0.4130793  0.58692074],"[5.4479456e-03 5.9608892e-02 1.2420392e-01 7.1216983e-01 9.2000045e-02
 5.9213019e-03 5.4931425e-04 7.8303259e-05 2.0408484e-05]",00682
detected_faces\00680.jpg,East Asian,White,Male,0-2,"[0.24598439 0.01306809 0.04259822 0.459504   0.23034139 0.00370197
 0.00480191]",[0.46151337 0.17751655 0.34703767 0.01393235],[0.84378177 0.15621826],"[5.0772995e-01 1.4912799e-01 2.5007786e-02 1.7596820e-01 1.2630652e-01
 1.2864851e-02 2.3061659e-03 5.4842408e-04 1.4003673e-04]",00680
detected_faces\00679.jpg,East Asian,Asian,Female,20-29,"[0.03423025 0.00589857 0.12208205 0.67247    0.16304812 0.00072728
 0.00154362]",[0.00384409 0.05582912 0.93033737 0.0099894 ],[0.47605038 0.52394956],"[0.001092   0.03420086 0.10171233 0.34737247 0.3416491  0.1211277
 0.03998911 0.01088601 0.00197034]",00679
detected_faces\00678.jpg,White,White,Male,20-29,"[0.65690196 0.0052056  0.10750985 0.00121708 0.00261044 0.00100988
 0.22554526]",[0.9659389  0.00990879 0.0226491  0.00150321],[9.9956745e-01 4.3258932e-04],"[4.5918438e-07 2.4038649e-05 1.6227826e-02 8.2848406e-01 1.5194866e-01
 3.2556448e-03 5.5886998e-05 3.2706746e-06 2.1668399e-07]",00678
detected_faces\00677.jpg,Middle Eastern,Asian,Male,20-29,"[0.09996501 0.02683984 0.22332534 0.11037482 0.0529919  0.0367487
 0.44975436]",[0.05696645 0.11349179 0.82144463 0.00809712],[0.96618897 0.03381106],"[1.6564454e-04 1.1096388e-02 1.0942798e-01 6.3179767e-01 2.2096911e-01
 2.4234753e-02 1.9798868e-03 2.9174006e-04 3.6811634e-05]",00677
detected_faces\00676.jpg,East Asian,Asian,Female,20-29,"[5.5504713e-02 1.6475959e-02 2.8089564e-02 7.1873587e-01 1.7392036e-01
 4.2720069e-04 6.8463343e-03]",[0.06104016 0.1414468  0.793946   0.00356692],[0.28729442 0.7127056 ],"[3.8220345e-03 4.8135009e-02 9.4128110e-02 6.7371505e-01 1.6372946e-01
 1.5561721e-02 7.6566159e-04 1.1655020e-04 2.6452786e-05]",00676
detected_faces\00675.jpg,East Asian,White,Male,20-29,"[2.9783180e-01 5.5299816e-04 1.5212106e-02 6.4221507e-01 2.6057817e-02
 8.1071194e-05 1.8049126e-02]",[5.5595446e-01 2.5085639e-04 4.4372195e-01 7.2734751e-05],[0.74330354 0.25669646],"[6.4540647e-05 4.0592523e-03 3.0873424e-01 5.5211514e-01 1.1935260e-01
 1.4388323e-02 1.0574958e-03 2.0119319e-04 2.7247774e-05]",00675
